# Nspike,poss_MSR,max_MSR,Opt_Hs,Opt_Hk,opt_HsHk,Max_Hs,Max_Hk
1.000000000000000000e+02,2.643597902057010507e-01,2.944179180000000007e-01,8.252193330000000548e-01,3.498772379999999793e-01,1.175096509999999927e+00,6.075884099999999677e-01,4.539498089999999819e-01
1.100000000000000000e+02,2.642750007771693110e-01,2.950655819999999929e-01,8.242030139999999561e-01,3.510698680000000071e-01,1.175272819999999996e+00,6.065374019999999478e-01,4.552401010000000081e-01
1.210000000000000000e+02,2.641404344083572164e-01,2.956630889999999900e-01,8.238589170000000239e-01,3.515337110000000265e-01,1.175392629999999938e+00,6.054898499999999961e-01,4.564626809999999812e-01
1.330000000000000000e+02,2.639621401627947894e-01,2.962100509999999742e-01,8.230689169999999555e-01,3.523786369999999946e-01,1.175447579999999936e+00,6.044431329999999658e-01,4.576134379999999835e-01
1.460000000000000000e+02,2.637465231982972780e-01,2.967080770000000145e-01,8.225838540000000032e-01,3.528797029999999890e-01,1.175463560000000074e+00,6.034023170000000214e-01,4.586919549999999846e-01
1.600000000000000000e+02,2.634998538854803063e-01,2.971599400000000113e-01,8.219958539999999703e-01,3.534299730000000084e-01,1.175425890000000084e+00,6.023902300000000265e-01,4.597000780000000120e-01
1.760000000000000000e+02,2.632095259727796899e-01,2.975939810000000074e-01,8.214530349999999981e-01,3.539007599999999809e-01,1.175353770000000075e+00,6.013510819999999812e-01,4.606994990000000123e-01
1.930000000000000000e+02,2.629018565060865509e-01,2.979809939999999990e-01,8.208917380000000374e-01,3.543469910000000000e-01,1.175238730000000009e+00,6.003826260000000303e-01,4.616208669999999903e-01
2.120000000000000000e+02,2.625589268700053158e-01,2.983437780000000039e-01,8.204158540000000555e-01,3.546772599999999942e-01,1.175093050000000083e+00,5.994461180000000278e-01,4.625155930000000026e-01
2.330000000000000000e+02,2.621885110925614160e-01,2.986775340000000223e-01,8.198021650000000271e-01,3.551062640000000048e-01,1.174908400000000075e+00,5.984085199999999993e-01,4.633744659999999849e-01
2.560000000000000000e+02,2.617968310642317387e-01,2.989834550000000091e-01,8.194685579999999581e-01,3.552282150000000138e-01,1.174696799999999985e+00,5.974522829999999729e-01,4.641923009999999739e-01
2.810000000000000000e+02,2.613892221272219873e-01,2.992616000000000165e-01,8.187918069999999826e-01,3.556677100000000258e-01,1.174459460000000011e+00,5.964852569999999909e-01,4.649657609999999774e-01
3.090000000000000000e+02,2.609553163656858632e-01,2.995214760000000087e-01,8.183191419999999994e-01,3.558707540000000114e-01,1.174189930000000048e+00,5.955441000000000207e-01,4.657203560000000020e-01
3.390000000000000000e+02,2.605160475337568449e-01,2.997534570000000009e-01,8.179076910000000478e-01,3.559983669999999822e-01,1.173906090000000013e+00,5.945869089999999968e-01,4.664249420000000090e-01
3.720000000000000000e+02,2.600614898971290168e-01,2.999660670000000029e-01,8.173384670000000130e-01,3.562604489999999791e-01,1.173598890000000061e+00,5.936695929999999954e-01,4.671020209999999784e-01
4.090000000000000000e+02,2.595843947625015025e-01,3.001637160000000248e-01,8.168644910000000259e-01,3.564000130000000155e-01,1.173264499999999932e+00,5.927474499999999535e-01,4.677647650000000268e-01
4.490000000000000000e+02,2.591035146328767302e-01,3.003403250000000191e-01,8.164561390000000252e-01,3.564615549999999855e-01,1.172917720000000052e+00,5.918469429999999587e-01,4.683904649999999781e-01
4.930000000000000000e+02,2.586117351433459555e-01,3.005005419999999816e-01,8.160073759999999510e-01,3.565465809999999736e-01,1.172553900000000038e+00,5.909456610000000110e-01,4.689924420000000094e-01
5.420000000000000000e+02,2.581042598953219858e-01,3.006469310000000061e-01,8.155105110000000490e-01,3.566583689999999751e-01,1.172168850000000040e+00,5.900335909999999684e-01,4.695786240000000000e-01
5.960000000000000000e+02,2.575877376472408553e-01,3.007780310000000012e-01,8.150463700000000200e-01,3.567216100000000223e-01,1.171767950000000003e+00,5.891307000000000071e-01,4.701432589999999800e-01
6.550000000000000000e+02,2.570676562057512271e-01,3.008937239999999735e-01,8.146038650000000381e-01,3.567523060000000190e-01,1.171356199999999959e+00,5.882539150000000161e-01,4.706830080000000138e-01
7.200000000000000000e+02,2.565406105546306215e-01,3.009965720000000178e-01,8.141715529999999923e-01,3.567596379999999900e-01,1.170931219999999939e+00,5.873922110000000529e-01,4.712036250000000148e-01
7.920000000000000000e+02,2.560048270326170106e-01,3.010877069999999822e-01,8.137432340000000375e-01,3.567485209999999851e-01,1.170491809999999910e+00,5.865205529999999445e-01,4.717086549999999767e-01
8.710000000000000000e+02,2.554663194462608033e-01,3.011668619999999796e-01,8.133229020000000142e-01,3.567201500000000136e-01,1.170042990000000005e+00,5.856677289999999703e-01,4.721939860000000100e-01
9.580000000000000000e+02,2.549238876857833902e-01,3.012351099999999726e-01,8.129110929999999735e-01,3.566730920000000249e-01,1.169584160000000095e+00,5.848286150000000516e-01,4.726624489999999845e-01
1.053000000000000000e+03,2.543827126752380430e-01,3.012925390000000259e-01,8.125143049999999922e-01,3.566056490000000245e-01,1.169119950000000019e+00,5.840038060000000142e-01,4.731112419999999874e-01
1.158000000000000000e+03,2.538368413104707400e-01,3.013405200000000006e-01,8.121330740000000104e-01,3.565122490000000033e-01,1.168645259999999908e+00,5.831816789999999529e-01,4.735467729999999764e-01
1.273000000000000000e+03,2.532918924173965247e-01,3.013791740000000274e-01,8.117183449999999523e-01,3.564470710000000042e-01,1.168165450000000050e+00,5.823739169999999632e-01,4.739657340000000274e-01
1.400000000000000000e+03,2.527439001454283019e-01,3.014089759999999951e-01,8.113139870000000142e-01,3.563631469999999912e-01,1.167677159999999992e+00,5.815801019999999877e-01,4.743723870000000065e-01
1.540000000000000000e+03,2.521945295321145197e-01,3.014305529999999900e-01,8.109426499999999871e-01,3.562393189999999987e-01,1.167181969999999902e+00,5.807851550000000529e-01,4.747663739999999910e-01
1.694000000000000000e+03,2.516454796726499965e-01,3.014444709999999916e-01,8.105539080000000451e-01,3.561274110000000048e-01,1.166681290000000093e+00,5.800068379999999690e-01,4.751474560000000236e-01
1.863000000000000000e+03,2.510984341976331691e-01,3.014511759999999874e-01,8.101795910000000323e-01,3.559978010000000026e-01,1.166177390000000091e+00,5.792400239999999645e-01,4.755154549999999758e-01
2.049000000000000000e+03,2.505521409640652508e-01,3.014510570000000222e-01,8.098090289999999580e-01,3.558597270000000146e-01,1.165668729999999931e+00,5.784812569999999710e-01,4.758720100000000119e-01
2.253000000000000000e+03,2.500088035231463612e-01,3.014445900000000123e-01,8.094545010000000484e-01,3.557034130000000238e-01,1.165157910000000019e+00,5.777360200000000168e-01,4.762165839999999983e-01
2.478000000000000000e+03,2.494657135146617355e-01,3.014320140000000259e-01,8.090835210000000277e-01,3.555587829999999894e-01,1.164642329999999948e+00,5.769993070000000168e-01,4.765515029999999874e-01
2.725000000000000000e+03,2.489257433265860131e-01,3.014136550000000025e-01,8.087317349999999516e-01,3.553930220000000029e-01,1.164124729999999941e+00,5.762753489999999923e-01,4.768757519999999861e-01
2.997000000000000000e+03,2.483874517026948558e-01,3.013897839999999939e-01,8.083876970000000162e-01,3.552164729999999770e-01,1.163604139999999898e+00,5.755581260000000032e-01,4.771907329999999781e-01
3.296000000000000000e+03,2.478520823764140679e-01,3.013608460000000155e-01,8.080465789999999870e-01,3.550352159999999868e-01,1.163081770000000015e+00,5.748493670000000000e-01,4.774963560000000107e-01
3.625000000000000000e+03,2.473193081629765089e-01,3.013271690000000058e-01,8.077060579999999490e-01,3.548513349999999900e-01,1.162557360000000095e+00,5.741517539999999586e-01,4.777932759999999890e-01
3.987000000000000000e+03,2.467893908476209708e-01,3.012889619999999935e-01,8.073670859999999561e-01,3.546642959999999900e-01,1.162031409999999987e+00,5.734633799999999670e-01,4.780818820000000136e-01
4.385000000000000000e+03,2.462629123484396110e-01,3.012465539999999997e-01,8.070327040000000451e-01,3.544717729999999900e-01,1.161504510000000101e+00,5.727852580000000193e-01,4.783622619999999825e-01
4.823000000000000000e+03,2.457395507832441650e-01,3.012000619999999906e-01,8.067064879999999993e-01,3.542698919999999752e-01,1.160976409999999959e+00,5.721173290000000078e-01,4.786350730000000220e-01
5.305000000000000000e+03,2.452194963151961560e-01,3.011496370000000256e-01,8.063906429999999625e-01,3.540568350000000142e-01,1.160447479999999976e+00,5.714562539999999968e-01,4.789005820000000191e-01
5.835000000000000000e+03,2.447033130551649061e-01,3.010956650000000123e-01,8.060655589999999870e-01,3.538527790000000062e-01,1.159918430000000056e+00,5.708056689999999600e-01,4.791588780000000103e-01
6.418000000000000000e+03,2.441908781030351916e-01,3.010383549999999797e-01,8.057553769999999949e-01,3.536337609999999909e-01,1.159389140000000040e+00,5.701648590000000238e-01,4.794103800000000248e-01
7.059000000000000000e+03,2.436825512603525701e-01,3.009778859999999723e-01,8.054454920000000406e-01,3.534146550000000220e-01,1.158860210000000057e+00,5.695319770000000226e-01,4.796552060000000006e-01
7.764000000000000000e+03,2.431782504373563858e-01,3.009143169999999867e-01,8.051373960000000052e-01,3.531941180000000013e-01,1.158331510000000009e+00,5.689086909999999664e-01,4.798937440000000110e-01
8.540000000000000000e+03,2.426776552938456066e-01,3.008473520000000123e-01,8.048350210000000393e-01,3.529679179999999916e-01,1.157802940000000058e+00,5.682944659999999981e-01,4.801264109999999752e-01
9.394000000000000000e+03,2.421809728833252684e-01,3.007771370000000277e-01,8.045375350000000259e-01,3.527372180000000190e-01,1.157274719999999979e+00,5.676876309999999703e-01,4.803533549999999819e-01
1.033300000000000000e+04,2.416886856916840576e-01,3.007038530000000209e-01,8.042450549999999865e-01,3.525025250000000110e-01,1.156747579999999997e+00,5.670894979999999697e-01,4.805746379999999984e-01
1.136600000000000000e+04,2.412005933628452725e-01,3.006276190000000126e-01,8.039504290000000220e-01,3.522708119999999887e-01,1.156221270000000079e+00,5.665003060000000090e-01,4.807905550000000083e-01
1.250200000000000000e+04,2.407169285051791452e-01,3.005485239999999836e-01,8.036663530000000000e-01,3.520298299999999880e-01,1.155696150000000033e+00,5.659189820000000148e-01,4.810012579999999871e-01
1.375200000000000000e+04,2.402374004032895305e-01,3.004665369999999780e-01,8.033795950000000019e-01,3.517925140000000006e-01,1.155172110000000085e+00,5.653460620000000381e-01,4.812070430000000010e-01
1.512700000000000000e+04,2.397622348295679329e-01,3.003818089999999996e-01,8.030987379999999787e-01,3.515506389999999981e-01,1.154649379999999947e+00,5.647809510000000310e-01,4.814080299999999868e-01
1.663900000000000000e+04,2.392915808291342372e-01,3.002944590000000136e-01,8.028218750000000181e-01,3.513064089999999862e-01,1.154128309999999935e+00,5.642241839999999620e-01,4.816043380000000207e-01
1.830200000000000000e+04,2.388253391617791710e-01,3.002044560000000084e-01,8.025491240000000026e-01,3.510595559999999948e-01,1.153608680000000053e+00,5.636749269999999923e-01,4.817961450000000090e-01
2.013200000000000000e+04,2.383633247254785259e-01,3.001117999999999841e-01,8.022781009999999657e-01,3.508124950000000020e-01,1.153090600000000077e+00,5.631334190000000239e-01,4.819837510000000158e-01
2.214500000000000000e+04,2.379056808850719129e-01,3.000164929999999952e-01,8.020113709999999729e-01,3.505628410000000139e-01,1.152574180000000004e+00,5.625997190000000536e-01,4.821672140000000106e-01
2.435900000000000000e+04,2.374524743608198984e-01,2.999186520000000078e-01,8.017463679999999870e-01,3.503133059999999910e-01,1.152059670000000091e+00,5.620732899999999477e-01,4.823466539999999858e-01
2.679400000000000000e+04,2.370037369539066963e-01,2.998181879999999855e-01,8.014854190000000322e-01,3.500616550000000271e-01,1.151547069999999895e+00,5.615544319999999923e-01,4.825221599999999778e-01
2.947300000000000000e+04,2.365592680658597791e-01,2.997150720000000268e-01,8.012283439999999812e-01,3.498080370000000161e-01,1.151036380000000081e+00,5.610426659999999677e-01,4.826940000000000119e-01
3.242000000000000000e+04,2.361191662246092948e-01,2.996092140000000126e-01,8.009718059999999529e-01,3.495558500000000013e-01,1.150527599999999984e+00,5.605379940000000394e-01,4.828622340000000013e-01
3.566200000000000000e+04,2.356833553031130735e-01,2.995006139999999983e-01,8.007197379999999587e-01,3.493011890000000119e-01,1.150020959999999981e+00,5.600403550000000452e-01,4.830269810000000219e-01
3.922800000000000000e+04,2.352519043315088043e-01,2.993891839999999749e-01,8.004703520000000516e-01,3.490460810000000080e-01,1.149516460000000073e+00,5.595496890000000167e-01,4.831883310000000264e-01
4.315000000000000000e+04,2.348248332048510079e-01,2.992748319999999906e-01,8.002237079999999780e-01,3.487904370000000087e-01,1.149014119999999917e+00,5.590659380000000400e-01,4.833464029999999800e-01
4.746500000000000000e+04,2.344019574030376807e-01,2.991573810000000000e-01,7.999802230000000458e-01,3.485338390000000119e-01,1.148514030000000075e+00,5.585887430000000542e-01,4.835013149999999871e-01
